n,timestamp_μs,500kV神万一线_Ua,500kV神万一线_Ub,500kV神万一线_UC,500kV神万一线_3U0,500kV神万二线_Ua,500kV神万二线_Ub,500kV神万二线_Uc,500kV神万二线_3U0,500kV万盘三线电压_Ua,500kV万盘三线电压_Ub,500kV万盘三线电压_Uc,500kV万盘三线电压_3U0,电压04_A,电压04_B,电压04_C,电压04_N,500kV神万一线_Ia,500kV神万一线_Ib,500kV神万一线_Ic,500kV神万一线_3I0,500kV神万二线_Ia,500kV神万二线_Ib,500kV神万二线_Ic,500kV神万二线_3I0,500kV万盘三线电流_Ia,500kV万盘三线电流_Ib,500kV万盘三线电流_Ic,500kV万盘三线电流_3I0,500kV万盘三线高抗电流_Ia,500kV万盘三线高抗电流_Ib,500kV万盘三线高抗电流_Ic,500kV万盘三线高抗电流_3I0,电流05_A,电流05_B,电流05_C,电流05_N,电流06_A,电流06_B,电流06_C,电流06_N,电流07_A,电流07_B,电流07_C,电流07_N,电流08_A,电流08_B,电流08_C,电流08_N,电流09_A,电流09_B,电流09_C,电流09_N,电流10_A,电流10_B,电流10_C,电流10_N,电流11_A,电流11_B,电流11_C,电流11_N,电流12_A,电流12_B,电流12_C,电流12_N,500kV神万一线_5061开关_线路保护一RCS931_A相跳闸,500kV神万一线_5061开关_线路保护一RCS931_B相跳闸,500kV神万一线_5061开关_线路保护一RCS931_C相跳闸,500kV神万一线_5061开关_线路保护一RCS931_远传收信,500kV神万一线_5061开关_线路保护一RCS931_通道故障,500kV神万一线_5061开关_线路保护一RCS925_保护跳闸,500kV神万一线_5061开关_线路保护一RCS925_过压启动远跳,500kV神万一线_5061开关_线路保护二WXH871_保护动作,500kV神万一线_5061开关_线路保护二WXH871_过压发信,500kV神万一线_5061开关_线路保护二WXH803_A相跳闸,500kV神万一线_5061开关_线路保护二WXH803_B相跳闸,500kV神万一线_5061开关_线路保护二WXH803_C相跳闸,500kV神万二线_5051开关_线路保护一RCS931_A相跳闸,500kV神万二线_5051开关_线路保护一RCS931_B相跳闸,500kV神万二线_5051开关_线路保护一RCS931_C相跳闸,500kV神万二线_5051开关_线路保护一RCS931_远传收信,500kV神万二线_5051开关_线路保护一RCS931_通道故障,500kV神万二线_5051开关_线路保护一RCS925_保护跳闸,500kV神万二线_5051开关_线路保护一RCS925_过压启动远跳,500kV神万二线_5051开关_线路保护二WXH871_保护动作,500kV神万二线_5051开关_线路保护二WXH871_过压发信,500kV神万二线_5051开关_线路保护二WXH803_A相跳闸,500kV神万二线_5051开关_线路保护二WXH803_B相跳闸,500kV神万二线_5051开关_线路保护二WXH803_C相跳闸,5051开关_A相分位,5051开关_B相分位,5051开关_C相分位,5051开关_断路器保护WDLK826AP_重合闸,5051开关_断路器保护WDLK826AP_第一组三相跳闸,5051开关_断路器保护WDLK826AP_第二组三相跳闸,5051开关_断路器保护WDLK826AP_保护动作,5051开关_断路器保护WDLK826AP_重合闸动作,5052开关_A相分位,5052开关_B相分位,5052开关_C相分位,5052开关_断路器保护WDLK826AP_重合闸,5052开关_断路器保护WDLK826AP_第一组三相跳闸,5052开关_断路器保护WDLK826AP_第二组三相跳闸,5052开关_断路器保护WDLK826AP_保护动作,5052开关_断路器保护WDLK826AP_重合闸动作,5061开关_A相分位,5061开关_B相分位,5061开关_C相分位,5061开关_断路器保护WDLK826AP_重合闸,5061开关_断路器保护WDLK826AP_第一组三相跳闸,5061开关_断路器保护WDLK826AP_第二组三相跳闸,5061开关_断路器保护WDLK826AP_保护动作,5061开关_断路器保护WDLK826AP_重合闸动作,5062开关_A相分位,5062开关_B相分位,5062开关_C相分位,5062开关_断路器保护WDLK826AP_重合闸,5062开关_断路器保护WDLK826AP_第一组三相跳闸,5062开关_断路器保护WDLK826AP_第二组三相跳闸,5062开关_断路器保护WDLK826AP_保护动作,5062开关_断路器保护WDLK826AP_重合闸动作,备用开关057,备用开关058,备用开关059,备用开关060,备用开关061,备用开关062,5053开关B相分位,5053开关C相分位,5053开关_断路器保护WDLK862_保护动作,5053开关_断路器保护WDLK862_重合闸动作,5053开关A相分位,5053开关_断路器保护操作箱跳A相出口,5053开关_断路器保护操作箱跳B相出口,5053开关_断路器保护操作箱跳C相出口,5053开关_断路器保护操作箱第一组三相跳闸,5053开关_断路器保护操作箱第二组三相跳闸,5053开关_断路器保护操作箱重合闸动作,500kV万盘三线线路保护一PCS931_A相跳闸,500kV万盘三线线路保护一PCS931_B相跳闸,500kV万盘三线线路保护一PCS931_C相跳闸,500kV万盘三线线路保护一PCS931_远传收信,500kV万盘三线线路保护二WXH803_A相跳闸,500kV万盘三线线路保护二WXH803_B相跳闸,500kV万盘三线线路保护二WXH803_C相跳闸,500kV万盘三线高抗保护一PCS917保护动作,500kV万盘三线高抗保护二WKB801保护动作,500kV万盘三线高抗本体重瓦斯跳闸,500kV万盘三线高抗本体压力释放跳闸,500kV万盘三线高抗本体油温高跳闸,500kV万盘三线高抗本体绕组温度高跳闸,500kV万盘三线高抗中性点重瓦斯跳闸,500kV万盘三线高抗中性点压力释放跳闸,500kV万盘三线高抗中性点油温高跳闸,备用开关090,备用开关091,备用开关092,备用开关093,备用开关094,备用开关095,备用开关096,备用开关097,备用开关098,备用开关099,备用开关100,备用开关101,备用开关102,备用开关103,备用开关104,备用开关105,备用开关106,备用开关107,备用开关108,备用开关109,备用开关110,备用开关111,备用开关112,备用开关113,备用开关114,备用开关115,备用开关116,备用开关117,备用开关118,备用开关119,备用开关120,备用开关121,备用开关122,备用开关123,备用开关124,备用开关125,备用开关126,备用开关127,备用开关128
1,-300000,59.829969,59.80458,59.753232,0.23478,59.856592,59.818122,59.787408,0.2504,59.93708,59.806119,59.73318,0.031332,0,0,0,0,0.12075,0.12236,0.118932,0.005232,0.120543,0.120612,0.120543,0.005238,0.298908,0.301516,0.298566,0,0.49112,0.49056,0.49112,0.001743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-280000,59.840416,59.80458,59.753232,0.23478,59.86704,59.818122,59.787408,0.2504,59.93708,59.806119,59.73318,0.031332,0,0,0,0,0.12075,0.120612,0.118932,0.005232,0.120543,0.120612,0.12229,0.005238,0.298908,0.299763,0.298566,0,0.49112,0.49056,0.49112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-260000,59.840416,59.80458,59.753232,0.23478,59.86704,59.818122,59.787408,0.23475,59.93708,59.806119,59.73318,0.046998,0,0,0,0,0.12075,0.12236,0.118932,0.005232,0.118796,0.120612,0.12229,0.005238,0.298908,0.301516,0.298566,0,0.49112,0.49056,0.49112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-240000,59.840416,59.80458,59.753232,0.23478,59.86704,59.818122,59.787408,0.23475,59.93708,59.806119,59.73318,0.046998,0,0,0,0,0.12075,0.120612,0.118932,0.005232,0.120543,0.120612,0.12229,0.005238,0.298908,0.301516,0.298566,0,0.49112,0.49056,0.49112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-220000,59.840416,59.80458,59.753232,0.23478,59.86704,59.818122,59.787408,0.23475,59.93708,59.806119,59.743632,0.046998,0,0,0,0,0.12075,0.12236,0.118932,0.005232,0.118796,0.120612,0.12229,0.005238,0.298908,0.301516,0.298566,0,0.49112,0.49056,0.49112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-200000,59.850863,59.80458,59.753232,0.23478,59.877488,59.818122,59.787408,0.23475,59.93708,59.81654,59.743632,0.031332,0,0,0,0,0.12075,0.120612,0.118932,0.005232,0.118796,0.120612,0.120543,0.005238,0.298908,0.299763,0.298566,0,0.49112,0.49056,0.49112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-180000,59.850863,59.80458,59.753232,0.23478,59.877488,59.818122,59.797864,0.23475,59.947522,59.81654,59.743632,0.046998,0,0,0,0,0.12075,0.120612,0.118932,0.005232,0.118796,0.120612,0.120543,0.003492,0.298908,0.301516,0.29682,0,0.49112,0.49056,0.49112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-160000,59.850863,59.80458,59.753232,0.23478,59.86704,59.818122,59.787408,0.2191,59.93708,59.81654,59.743632,0.046998,0,0,0,0,0.12075,0.120612,0.118932,0.005232,0.120543,0.120612,0.12229,0.003492,0.298908,0.301516,0.298566,0,0.49112,0.49056,0.49112,0.001743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-140000,59.850863,59.815008,59.753232,0.219128,59.877488,59.828556,59.787408,0.23475,59.947522,59.81654,59.743632,0.046998,0,0,0,0,0.12075,0.12236,0.118932,0.003488,0.120543,0.120612,0.12229,0.005238,0.298908,0.299763,0.298566,0,0.49112,0.49056,0.49112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-120000,59.850863,59.80458,59.753232,0.23478,59.877488,59.818122,59.787408,0.23475,59.947522,59.806119,59.73318,0.046998,0,0,0,0,0.12075,0.120612,0.118932,0.005232,0.118796,0.120612,0.120543,0.005238,0.298908,0.301516,0.298566,0,0.49112,0.49056,0.49112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
